support_case_id,date_key,station_id,opened_at,closed_at,case_category,case_status,priority,channel,handling_hours,sla_target_hours,sla_breached_flag,repeat_contact_flag
CASE000587,20250429,ST010,2025-04-29 21:41:00,2025-05-02 04:41:00,Service Disruption Complaint,Resolved,High,Email,55,72,N,N
CASE000588,20250429,ST010,2025-04-29 19:34:00,2025-04-30 01:34:00,Information Request,Resolved,Medium,Contact Centre,6,24,N,N
CASE000589,20250429,ST006,2025-04-29 17:06:00,2025-05-05 05:06:00,Information Request,Resolved,Medium,Mobile App,132,24,Y,N
CASE000590,20250430,ST016,2025-04-30 13:59:00,2025-04-30 14:59:00,Service Disruption Complaint,Resolved,Medium,Contact Centre,1,72,N,Y
CASE000591,20250430,ST010,2025-04-30 18:12:00,2025-05-02 07:12:00,Ticketing / Refund,Resolved,Medium,Station Desk,37,48,N,N
CASE000592,20250430,ST004,2025-04-30 09:44:00,,Staff Conduct,Open,Low,Web Form,,72,N,N
CASE000593,20250430,ST007,2025-04-30 13:04:00,2025-05-01 12:04:00,Lost Property,Resolved,Medium,Email,23,72,N,N
CASE000594,20250501,ST001,2025-05-01 18:17:00,2025-05-02 07:17:00,Accessibility Assistance,Resolved,Medium,Web Form,13,12,Y,N
CASE000595,20250501,ST001,2025-05-01 14:48:00,,Lost Property,Escalated,Medium,Contact Centre,,72,N,N
CASE000596,20250501,ST001,2025-05-01 11:06:00,2025-05-04 12:06:00,Accessibility Assistance,Resolved,Medium,Email,73,12,Y,N
CASE000597,20250501,ST016,2025-05-01 07:03:00,2025-05-04 16:03:00,Lost Property,Resolved,Medium,Email,81,72,Y,N
CASE000598,20250502,ST014,2025-05-02 19:25:00,,Ticketing / Refund,Open,Medium,Station Desk,,48,N,N
CASE000599,20250502,ST010,2025-05-02 16:39:00,2025-05-04 09:39:00,Lost Property,Resolved,Medium,Web Form,41,72,N,Y
CASE000600,20250503,ST004,2025-05-03 20:05:00,2025-05-05 09:05:00,Ticketing / Refund,Resolved,Medium,Mobile App,37,48,N,N
CASE000601,20250503,ST004,2025-05-03 13:56:00,2025-05-03 14:56:00,Ticketing / Refund,Resolved,High,Mobile App,1,48,N,N
CASE000602,20250504,ST013,2025-05-04 14:29:00,2025-05-07 23:29:00,Ticketing / Refund,Resolved,Medium,Station Desk,81,48,Y,N
CASE000603,20250504,ST001,2025-05-04 13:10:00,2025-05-05 04:10:00,Accessibility Assistance,Resolved,High,Mobile App,15,12,Y,N
CASE000604,20250504,ST001,2025-05-04 10:26:00,2025-05-08 17:26:00,Lost Property,Resolved,Medium,Email,103,72,Y,N
CASE000605,20250504,ST012,2025-05-04 20:40:00,,Delay Compensation,Open,Medium,Contact Centre,,96,N,N
CASE000606,20250505,ST011,2025-05-05 18:27:00,2025-05-06 19:27:00,Information Request,Resolved,Low,Contact Centre,25,24,Y,Y
CASE000607,20250505,ST008,2025-05-05 18:01:00,,Ticketing / Refund,Open,Medium,Web Form,,48,N,N
CASE000608,20250505,ST003,2025-05-05 16:08:00,2025-05-06 15:08:00,Staff Conduct,Resolved,Low,Email,23,72,N,N
CASE000609,20250505,ST015,2025-05-05 11:39:00,2025-05-08 15:39:00,Lost Property,Resolved,Medium,Contact Centre,76,72,Y,N
CASE000610,20250505,ST010,2025-05-05 18:22:00,2025-05-05 20:22:00,Accessibility Assistance,Resolved,Low,Mobile App,2,12,N,N
CASE000611,20250505,ST013,2025-05-05 22:43:00,2025-05-07 18:43:00,Cleanliness Complaint,Resolved,Medium,Station Desk,44,36,Y,N
CASE000612,20250505,ST015,2025-05-05 09:12:00,2025-05-06 07:12:00,Information Request,Resolved,Medium,Station Desk,22,24,N,N
CASE000613,20250505,ST001,2025-05-05 09:11:00,2025-05-06 00:11:00,Ticketing / Refund,Resolved,Medium,Web Form,15,48,N,N
CASE000614,20250505,ST012,2025-05-05 19:31:00,,Ticketing / Refund,Escalated,Low,Email,,48,N,Y
CASE000615,20250505,ST001,2025-05-05 16:33:00,2025-05-07 10:33:00,Lost Property,Resolved,Medium,Station Desk,42,72,N,N
CASE000616,20250506,ST014,2025-05-06 19:54:00,,Accessibility Assistance,Pending Customer,Medium,Contact Centre,,12,N,Y
CASE000617,20250506,ST016,2025-05-06 12:43:00,2025-05-07 18:43:00,Lost Property,Resolved,Medium,Mobile App,30,72,N,N
CASE000618,20250506,ST001,2025-05-06 15:26:00,2025-05-13 21:26:00,Ticketing / Refund,Resolved,High,Station Desk,174,48,Y,N
CASE000619,20250506,ST006,2025-05-06 15:08:00,2025-05-09 05:08:00,Information Request,Resolved,Low,Web Form,62,24,Y,N
CASE000620,20250506,ST007,2025-05-06 11:28:00,2025-05-07 15:28:00,Ticketing / Refund,Resolved,High,Contact Centre,28,48,N,N
CASE000621,20250506,ST011,2025-05-06 11:36:00,2025-05-07 00:36:00,Accessibility Assistance,Resolved,Medium,Mobile App,13,12,Y,N
CASE000622,20250506,ST003,2025-05-06 08:41:00,2025-05-10 07:41:00,Service Disruption Complaint,Resolved,Medium,Email,95,72,Y,N
CASE000623,20250507,ST010,2025-05-07 06:33:00,2025-05-08 01:33:00,Accessibility Assistance,Resolved,Low,Web Form,19,12,Y,N
CASE000624,20250507,ST003,2025-05-07 12:22:00,2025-05-07 13:22:00,Information Request,Resolved,Medium,Email,1,24,N,N
CASE000625,20250507,ST011,2025-05-07 07:03:00,2025-05-11 04:03:00,Delay Compensation,Resolved,Low,Web Form,93,96,N,N
CASE000626,20250507,ST001,2025-05-07 18:54:00,2025-05-08 06:54:00,Information Request,Resolved,Medium,Web Form,12,24,N,N
CASE000627,20250508,ST015,2025-05-08 06:13:00,2025-05-11 05:13:00,Delay Compensation,Resolved,Medium,Station Desk,71,96,N,N
CASE000628,20250508,ST004,2025-05-08 13:13:00,2025-05-09 10:13:00,Delay Compensation,Resolved,Medium,Station Desk,21,96,N,Y
CASE000629,20250508,ST010,2025-05-08 14:27:00,,Staff Conduct,Open,Low,Email,,72,N,Y
CASE000630,20250508,ST002,2025-05-08 07:53:00,2025-05-09 10:53:00,Information Request,Resolved,Medium,Email,27,24,Y,N
CASE000631,20250508,ST005,2025-05-08 11:11:00,,Ticketing / Refund,Escalated,Medium,Web Form,,48,N,N
CASE000632,20250509,ST011,2025-05-09 18:52:00,2025-05-11 19:52:00,Delay Compensation,Resolved,High,Station Desk,49,96,N,N
CASE000633,20250509,ST003,2025-05-09 06:59:00,2025-05-09 18:59:00,Delay Compensation,Resolved,High,Email,12,96,N,N
CASE000634,20250509,ST010,2025-05-09 22:16:00,2025-05-09 23:16:00,Information Request,Resolved,Low,Mobile App,1,24,N,N
CASE000635,20250510,ST010,2025-05-10 18:59:00,2025-05-11 21:59:00,Information Request,Resolved,Low,Web Form,27,24,Y,N
CASE000636,20250510,ST003,2025-05-10 18:34:00,2025-05-21 07:34:00,Delay Compensation,Resolved,Medium,Web Form,253,96,Y,N
CASE000637,20250510,ST005,2025-05-10 13:14:00,2025-05-12 10:14:00,Ticketing / Refund,Resolved,Medium,Contact Centre,45,48,N,N
CASE000638,20250510,ST009,2025-05-10 17:36:00,2025-05-12 16:36:00,Service Disruption Complaint,Resolved,Low,Mobile App,47,72,N,N
CASE000639,20250510,ST001,2025-05-10 16:53:00,2025-05-15 12:53:00,Delay Compensation,Resolved,Urgent,Web Form,116,96,Y,Y
CASE000640,20250510,ST007,2025-05-10 20:44:00,2025-05-12 08:44:00,Delay Compensation,Resolved,Low,Mobile App,36,96,N,N
CASE000641,20250510,ST004,2025-05-10 21:09:00,2025-05-15 06:09:00,Lost Property,Resolved,Low,Contact Centre,105,72,Y,Y
CASE000642,20250511,ST007,2025-05-11 10:09:00,2025-05-13 12:09:00,Ticketing / Refund,Resolved,Low,Mobile App,50,48,Y,N
CASE000643,20250511,ST003,2025-05-11 09:33:00,2025-05-13 01:33:00,Service Disruption Complaint,Resolved,Medium,Email,40,72,N,N
CASE000644,20250511,ST010,2025-05-11 15:26:00,2025-05-11 22:26:00,Accessibility Assistance,Resolved,Medium,Mobile App,7,12,N,N
CASE000645,20250512,ST010,2025-05-12 08:06:00,,Service Disruption Complaint,Pending Customer,Low,Web Form,,72,N,N
CASE000646,20250512,ST014,2025-05-12 06:57:00,2025-05-13 11:57:00,Ticketing / Refund,Resolved,Medium,Web Form,29,48,N,N
CASE000647,20250512,ST007,2025-05-12 17:42:00,2025-05-14 05:42:00,Information Request,Resolved,Medium,Email,36,24,Y,N
CASE000648,20250512,ST006,2025-05-12 22:33:00,2025-05-15 04:33:00,Ticketing / Refund,Resolved,High,Station Desk,54,48,Y,Y
CASE000649,20250512,ST001,2025-05-12 12:52:00,2025-05-13 00:52:00,Delay Compensation,Resolved,Low,Mobile App,12,96,N,N
CASE000650,20250512,ST003,2025-05-12 10:40:00,,Service Disruption Complaint,Open,Medium,Station Desk,,72,N,N
CASE000651,20250513,ST009,2025-05-13 17:04:00,2025-05-14 14:04:00,Ticketing / Refund,Resolved,Low,Mobile App,21,48,N,N
CASE000652,20250513,ST001,2025-05-13 20:40:00,,Cleanliness Complaint,Open,Medium,Station Desk,,36,N,Y
CASE000653,20250513,ST016,2025-05-13 20:20:00,2025-05-18 13:20:00,Delay Compensation,Resolved,Urgent,Mobile App,113,96,Y,Y
CASE000654,20250513,ST012,2025-05-13 10:36:00,2025-05-13 18:36:00,Lost Property,Resolved,Medium,Station Desk,8,72,N,N
CASE000655,20250513,ST002,2025-05-13 18:11:00,2025-05-15 21:11:00,Ticketing / Refund,Resolved,High,Station Desk,51,48,Y,N
CASE000656,20250513,ST002,2025-05-13 12:38:00,2025-05-14 09:38:00,Information Request,Resolved,Medium,Contact Centre,21,24,N,N
CASE000657,20250514,ST001,2025-05-14 10:55:00,,Accessibility Assistance,Pending Customer,Medium,Email,,12,N,N
CASE000658,20250514,ST005,2025-05-14 06:54:00,,Delay Compensation,Pending Customer,High,Station Desk,,96,N,N
CASE000659,20250514,ST001,2025-05-14 20:48:00,2025-05-14 21:48:00,Ticketing / Refund,Resolved,Low,Contact Centre,1,48,N,N
CASE000660,20250514,ST002,2025-05-14 11:47:00,2025-05-20 22:47:00,Accessibility Assistance,Resolved,High,Station Desk,155,12,Y,N
CASE000661,20250514,ST001,2025-05-14 10:13:00,2025-05-14 13:13:00,Service Disruption Complaint,Resolved,Medium,Mobile App,3,72,N,N
CASE000662,20250515,ST005,2025-05-15 21:33:00,,Staff Conduct,Open,Medium,Mobile App,,72,N,Y
CASE000663,20250515,ST009,2025-05-15 07:25:00,2025-05-18 02:25:00,Cleanliness Complaint,Resolved,Medium,Contact Centre,67,36,Y,N
CASE000664,20250516,ST012,2025-05-16 20:20:00,,Information Request,Pending Customer,Medium,Contact Centre,,24,N,Y
CASE000665,20250516,ST002,2025-05-16 22:55:00,2025-05-18 15:55:00,Cleanliness Complaint,Resolved,Medium,Contact Centre,41,36,Y,Y
CASE000666,20250516,ST003,2025-05-16 06:46:00,,Delay Compensation,Pending Customer,Urgent,Mobile App,,96,N,Y
CASE000667,20250517,ST006,2025-05-17 11:02:00,2025-05-17 17:02:00,Accessibility Assistance,Resolved,High,Station Desk,6,12,N,Y
CASE000668,20250517,ST013,2025-05-17 19:03:00,2025-05-19 13:03:00,Cleanliness Complaint,Resolved,Medium,Station Desk,42,36,Y,N
CASE000669,20250517,ST007,2025-05-17 08:46:00,,Staff Conduct,Open,High,Web Form,,72,N,N
CASE000670,20250517,ST016,2025-05-17 18:32:00,2025-05-19 23:32:00,Accessibility Assistance,Resolved,Low,Contact Centre,53,12,Y,N
CASE000671,20250517,ST014,2025-05-17 18:56:00,,Accessibility Assistance,Open,High,Mobile App,,12,N,N
CASE000672,20250517,ST013,2025-05-17 06:49:00,2025-05-19 04:49:00,Ticketing / Refund,Resolved,Medium,Station Desk,46,48,N,N
CASE000673,20250518,ST007,2025-05-18 15:46:00,2025-05-23 04:46:00,Cleanliness Complaint,Resolved,Medium,Web Form,109,36,Y,N
CASE000674,20250518,ST006,2025-05-18 07:48:00,,Staff Conduct,Pending Customer,Medium,Email,,72,N,Y
CASE000675,20250518,ST002,2025-05-18 20:09:00,2025-05-22 03:09:00,Delay Compensation,Resolved,Medium,Station Desk,79,96,N,N
CASE000676,20250518,ST003,2025-05-18 07:14:00,2025-05-21 05:14:00,Service Disruption Complaint,Resolved,Medium,Email,70,72,N,N
CASE000677,20250519,ST001,2025-05-19 16:00:00,2025-05-22 16:00:00,Service Disruption Complaint,Resolved,Low,Station Desk,72,72,N,N
CASE000678,20250519,ST014,2025-05-19 18:56:00,2025-05-20 05:56:00,Accessibility Assistance,Resolved,Low,Email,11,12,N,N
CASE000679,20250519,ST012,2025-05-19 09:14:00,2025-05-24 07:14:00,Delay Compensation,Resolved,Medium,Station Desk,118,96,Y,N
CASE000680,20250519,ST010,2025-05-19 22:35:00,2025-05-20 00:35:00,Accessibility Assistance,Resolved,Medium,Contact Centre,2,12,N,N
CASE000681,20250519,ST001,2025-05-19 20:12:00,2025-05-22 22:12:00,Accessibility Assistance,Resolved,High,Station Desk,74,12,Y,N
CASE000682,20250519,ST007,2025-05-19 06:33:00,2025-05-23 19:33:00,Delay Compensation,Resolved,Low,Email,109,96,Y,N
CASE000683,20250519,ST001,2025-05-19 06:20:00,,Lost Property,Open,Medium,Station Desk,,72,N,N
CASE000684,20250519,ST002,2025-05-19 15:29:00,2025-05-23 21:29:00,Delay Compensation,Resolved,Low,Email,102,96,Y,N
CASE000685,20250519,ST012,2025-05-19 16:02:00,2025-05-20 10:02:00,Information Request,Resolved,High,Web Form,18,24,N,N
CASE000686,20250519,ST002,2025-05-19 17:33:00,2025-05-20 10:33:00,Information Request,Resolved,Medium,Web Form,17,24,N,N
CASE000687,20250520,ST003,2025-05-20 09:29:00,,Cleanliness Complaint,Open,Medium,Web Form,,36,N,N
CASE000688,20250520,ST007,2025-05-20 11:34:00,2025-05-20 23:34:00,Delay Compensation,Resolved,Medium,Email,12,96,N,N
CASE000689,20250520,ST005,2025-05-20 06:55:00,2025-05-21 04:55:00,Information Request,Resolved,High,Station Desk,22,24,N,N
CASE000690,20250521,ST001,2025-05-21 22:08:00,2025-05-22 11:08:00,Accessibility Assistance,Resolved,Medium,Web Form,13,12,Y,N
CASE000691,20250521,ST007,2025-05-21 22:53:00,2025-05-21 23:53:00,Service Disruption Complaint,Resolved,Medium,Mobile App,1,72,N,N
CASE000692,20250521,ST007,2025-05-21 14:29:00,2025-05-23 19:29:00,Ticketing / Refund,Resolved,Low,Station Desk,53,48,Y,N
CASE000693,20250521,ST006,2025-05-21 16:07:00,2025-05-21 17:07:00,Ticketing / Refund,Resolved,Medium,Email,1,48,N,N
CASE000694,20250521,ST016,2025-05-21 19:19:00,2025-05-22 06:19:00,Accessibility Assistance,Resolved,Medium,Station Desk,11,12,N,N
CASE000695,20250521,ST002,2025-05-21 20:22:00,2025-05-25 13:22:00,Information Request,Resolved,Medium,Contact Centre,89,24,Y,N
CASE000696,20250522,ST009,2025-05-22 20:38:00,2025-05-24 08:38:00,Cleanliness Complaint,Resolved,Medium,Contact Centre,36,36,N,Y
CASE000697,20250522,ST002,2025-05-22 17:05:00,,Ticketing / Refund,Open,Low,Email,,48,N,N
CASE000698,20250522,ST010,2025-05-22 15:49:00,2025-05-25 01:49:00,Service Disruption Complaint,Resolved,High,Station Desk,58,72,N,N
CASE000699,20250523,ST009,2025-05-23 16:00:00,2025-05-25 03:00:00,Lost Property,Resolved,Medium,Mobile App,35,72,N,N
CASE000700,20250523,ST002,2025-05-23 10:04:00,2025-05-24 02:04:00,Accessibility Assistance,Resolved,Low,Email,16,12,Y,N
CASE000701,20250523,ST001,2025-05-23 08:36:00,,Cleanliness Complaint,Pending Customer,Medium,Web Form,,36,N,N
CASE000702,20250523,ST010,2025-05-23 20:52:00,2025-05-24 06:52:00,Staff Conduct,Resolved,Medium,Web Form,10,72,N,N
CASE000703,20250523,ST015,2025-05-23 12:56:00,2025-05-23 18:56:00,Accessibility Assistance,Resolved,Low,Mobile App,6,12,N,N
CASE000704,20250523,ST007,2025-05-23 16:50:00,2025-05-24 08:50:00,Information Request,Resolved,High,Contact Centre,16,24,N,N
CASE000705,20250524,ST015,2025-05-24 08:33:00,2025-05-24 23:33:00,Lost Property,Resolved,Low,Email,15,72,N,N
CASE000706,20250524,ST006,2025-05-24 20:29:00,2025-05-25 13:29:00,Information Request,Resolved,Medium,Station Desk,17,24,N,N
CASE000707,20250524,ST006,2025-05-24 16:58:00,,Delay Compensation,Open,High,Mobile App,,96,N,N
CASE000708,20250524,ST004,2025-05-24 14:28:00,,Information Request,Open,Medium,Mobile App,,24,N,N
CASE000709,20250524,ST013,2025-05-24 09:40:00,2025-05-27 17:40:00,Delay Compensation,Resolved,High,Email,80,96,N,N
CASE000710,20250524,ST006,2025-05-24 21:20:00,2025-05-26 21:20:00,Ticketing / Refund,Resolved,Medium,Station Desk,48,48,N,N
CASE000711,20250524,ST006,2025-05-24 11:02:00,,Accessibility Assistance,Escalated,High,Email,,12,N,N
CASE000712,20250524,ST002,2025-05-24 15:53:00,,Service Disruption Complaint,Open,Low,Web Form,,72,N,N
CASE000713,20250525,ST014,2025-05-25 18:43:00,,Accessibility Assistance,Open,Medium,Email,,12,N,N
CASE000714,20250525,ST002,2025-05-25 18:58:00,2025-05-28 11:58:00,Information Request,Resolved,Medium,Contact Centre,65,24,Y,N
CASE000715,20250525,ST006,2025-05-25 22:17:00,2025-05-26 09:17:00,Information Request,Resolved,High,Web Form,11,24,N,N
CASE000716,20250525,ST004,2025-05-25 22:03:00,2025-05-25 23:03:00,Accessibility Assistance,Resolved,High,Station Desk,1,12,N,N
CASE000717,20250525,ST012,2025-05-25 09:36:00,,Service Disruption Complaint,Open,Medium,Web Form,,72,N,N
CASE000718,20250526,ST001,2025-05-26 17:21:00,2025-05-28 08:21:00,Cleanliness Complaint,Resolved,Medium,Email,39,36,Y,N
CASE000719,20250526,ST011,2025-05-26 20:42:00,2025-05-28 21:42:00,Lost Property,Resolved,High,Mobile App,49,72,N,Y
CASE000720,20250526,ST002,2025-05-26 14:20:00,2025-05-27 13:20:00,Service Disruption Complaint,Resolved,Medium,Mobile App,23,72,N,N
CASE000721,20250526,ST003,2025-05-26 11:20:00,,Lost Property,Pending Customer,Medium,Web Form,,72,N,N
CASE000722,20250526,ST010,2025-05-26 10:08:00,2025-05-29 06:08:00,Lost Property,Resolved,Medium,Station Desk,68,72,N,N
CASE000723,20250526,ST015,2025-05-26 14:43:00,2025-05-31 12:43:00,Delay Compensation,Resolved,Medium,Station Desk,118,96,Y,N
CASE000724,20250526,ST015,2025-05-26 07:52:00,,Ticketing / Refund,Pending Customer,Medium,Email,,48,N,N
CASE000725,20250526,ST008,2025-05-26 07:24:00,2025-05-28 15:24:00,Service Disruption Complaint,Resolved,High,Mobile App,56,72,N,N
CASE000726,20250527,ST007,2025-05-27 08:28:00,2025-05-28 05:28:00,Accessibility Assistance,Resolved,Low,Station Desk,21,12,Y,N
CASE000727,20250527,ST009,2025-05-27 21:27:00,2025-05-28 22:27:00,Cleanliness Complaint,Resolved,Urgent,Contact Centre,25,36,N,Y
CASE000728,20250527,ST001,2025-05-27 12:33:00,2025-05-27 18:33:00,Ticketing / Refund,Resolved,Medium,Mobile App,6,48,N,N
CASE000729,20250528,ST004,2025-05-28 16:04:00,2025-05-29 10:04:00,Information Request,Resolved,Medium,Contact Centre,18,24,N,N
CASE000730,20250528,ST006,2025-05-28 14:13:00,,Accessibility Assistance,Pending Customer,Low,Contact Centre,,12,N,N
CASE000731,20250528,ST001,2025-05-28 19:44:00,2025-06-07 00:44:00,Lost Property,Resolved,Medium,Contact Centre,221,72,Y,N
CASE000732,20250528,ST006,2025-05-28 07:04:00,,Staff Conduct,Open,Medium,Mobile App,,72,N,N
CASE000733,20250528,ST013,2025-05-28 13:07:00,2025-06-01 13:07:00,Staff Conduct,Resolved,High,Web Form,96,72,Y,N
CASE000734,20250528,ST015,2025-05-28 06:53:00,2025-05-29 20:53:00,Information Request,Resolved,Low,Station Desk,38,24,Y,N
CASE000735,20250529,ST012,2025-05-29 07:01:00,,Ticketing / Refund,Pending Customer,Medium,Contact Centre,,48,N,N
CASE000736,20250529,ST001,2025-05-29 18:26:00,2025-06-01 03:26:00,Cleanliness Complaint,Resolved,Low,Contact Centre,57,36,Y,N
CASE000737,20250529,ST015,2025-05-29 12:09:00,2025-06-02 22:09:00,Delay Compensation,Resolved,High,Web Form,106,96,Y,N
CASE000738,20250529,ST001,2025-05-29 14:05:00,2025-06-02 10:05:00,Delay Compensation,Resolved,Low,Email,92,96,N,N
CASE000739,20250530,ST001,2025-05-30 13:43:00,,Delay Compensation,Open,Medium,Mobile App,,96,N,N
CASE000740,20250530,ST010,2025-05-30 06:45:00,2025-06-02 19:45:00,Delay Compensation,Resolved,Medium,Mobile App,85,96,N,N
CASE000741,20250530,ST014,2025-05-30 09:28:00,,Lost Property,Open,Low,Web Form,,72,N,N
CASE000742,20250530,ST001,2025-05-30 12:12:00,2025-06-01 10:12:00,Ticketing / Refund,Resolved,Medium,Station Desk,46,48,N,N
CASE000743,20250530,ST008,2025-05-30 14:53:00,,Accessibility Assistance,Pending Customer,Medium,Station Desk,,12,N,Y
CASE000744,20250530,ST013,2025-05-30 13:06:00,2025-06-03 10:06:00,Ticketing / Refund,Resolved,Low,Contact Centre,93,48,Y,Y
CASE000745,20250531,ST009,2025-05-31 20:17:00,2025-06-03 21:17:00,Ticketing / Refund,Resolved,Low,Web Form,73,48,Y,N
CASE000746,20250531,ST004,2025-05-31 22:14:00,2025-06-07 05:14:00,Delay Compensation,Resolved,High,Web Form,151,96,Y,N
CASE000747,20250601,ST003,2025-06-01 11:18:00,2025-06-02 09:18:00,Information Request,Resolved,Medium,Contact Centre,22,24,N,Y
CASE000748,20250601,ST002,2025-06-01 09:18:00,2025-06-01 18:18:00,Accessibility Assistance,Resolved,Medium,Web Form,9,12,N,N
CASE000749,20250602,ST015,2025-06-02 07:18:00,2025-06-03 17:18:00,Service Disruption Complaint,Resolved,High,Mobile App,34,72,N,N
CASE000750,20250602,ST008,2025-06-02 14:23:00,,Delay Compensation,Pending Customer,Medium,Web Form,,96,N,N
CASE000751,20250602,ST003,2025-06-02 07:29:00,,Ticketing / Refund,Open,Low,Contact Centre,,48,N,N
CASE000752,20250602,ST015,2025-06-02 15:47:00,2025-06-05 05:47:00,Ticketing / Refund,Resolved,Medium,Mobile App,62,48,Y,N
CASE000753,20250602,ST001,2025-06-02 22:59:00,2025-06-03 09:59:00,Cleanliness Complaint,Resolved,Low,Contact Centre,11,36,N,Y
CASE000754,20250602,ST001,2025-06-02 07:27:00,2025-06-03 04:27:00,Ticketing / Refund,Resolved,Medium,Contact Centre,21,48,N,N
CASE000755,20250602,ST002,2025-06-02 14:07:00,2025-06-02 23:07:00,Cleanliness Complaint,Resolved,Medium,Web Form,9,36,N,N
CASE000756,20250602,ST001,2025-06-02 10:58:00,2025-06-08 21:58:00,Service Disruption Complaint,Resolved,Medium,Contact Centre,155,72,Y,Y
CASE000757,20250602,ST010,2025-06-02 06:24:00,2025-06-02 10:24:00,Ticketing / Refund,Resolved,High,Station Desk,4,48,N,N
CASE000758,20250602,ST007,2025-06-02 22:41:00,2025-06-04 01:41:00,Cleanliness Complaint,Resolved,Medium,Mobile App,27,36,N,N
CASE000759,20250603,ST006,2025-06-03 11:57:00,2025-06-04 19:57:00,Information Request,Resolved,Medium,Email,32,24,Y,Y
CASE000760,20250603,ST013,2025-06-03 16:40:00,2025-06-03 19:40:00,Accessibility Assistance,Resolved,Medium,Web Form,3,12,N,Y
CASE000761,20250603,ST001,2025-06-03 10:48:00,2025-06-03 15:48:00,Accessibility Assistance,Resolved,Medium,Web Form,5,12,N,Y
CASE000762,20250603,ST006,2025-06-03 09:23:00,2025-06-04 11:23:00,Service Disruption Complaint,Resolved,High,Contact Centre,26,72,N,Y
CASE000763,20250603,ST006,2025-06-03 08:48:00,2025-06-03 22:48:00,Accessibility Assistance,Resolved,Medium,Contact Centre,14,12,Y,N
CASE000764,20250603,ST006,2025-06-03 08:19:00,2025-06-04 15:19:00,Cleanliness Complaint,Resolved,Low,Web Form,31,36,N,N
CASE000765,20250603,ST009,2025-06-03 16:57:00,,Service Disruption Complaint,Pending Customer,Medium,Web Form,,72,N,N
CASE000766,20250604,ST015,2025-06-04 18:12:00,2025-06-06 19:12:00,Staff Conduct,Resolved,Low,Email,49,72,N,N
CASE000767,20250604,ST004,2025-06-04 20:54:00,2025-06-05 16:54:00,Staff Conduct,Resolved,High,Station Desk,20,72,N,N
CASE000768,20250604,ST011,2025-06-04 18:27:00,,Ticketing / Refund,Open,High,Contact Centre,,48,N,N
CASE000769,20250604,ST013,2025-06-04 17:04:00,,Accessibility Assistance,Pending Customer,Medium,Email,,12,N,N
CASE000770,20250605,ST006,2025-06-05 16:42:00,2025-06-06 09:42:00,Accessibility Assistance,Resolved,Low,Station Desk,17,12,Y,Y
CASE000771,20250605,ST001,2025-06-05 16:38:00,2025-06-06 02:38:00,Information Request,Resolved,Urgent,Mobile App,10,24,N,N
CASE000772,20250605,ST013,2025-06-05 08:51:00,2025-06-09 14:51:00,Service Disruption Complaint,Resolved,Low,Email,102,72,Y,N
CASE000773,20250605,ST002,2025-06-05 22:23:00,2025-06-06 22:23:00,Ticketing / Refund,Resolved,Low,Mobile App,24,48,N,N
CASE000774,20250606,ST001,2025-06-06 15:37:00,2025-06-06 20:37:00,Information Request,Resolved,Medium,Mobile App,5,24,N,Y
CASE000775,20250606,ST011,2025-06-06 07:54:00,2025-06-07 20:54:00,Cleanliness Complaint,Resolved,High,Email,37,36,Y,N
CASE000776,20250606,ST013,2025-06-06 11:25:00,2025-06-06 20:25:00,Accessibility Assistance,Resolved,Low,Web Form,9,12,N,N
CASE000777,20250606,ST004,2025-06-06 20:13:00,2025-06-06 21:13:00,Ticketing / Refund,Resolved,High,Web Form,1,48,N,N
CASE000778,20250606,ST006,2025-06-06 14:05:00,2025-06-07 11:05:00,Accessibility Assistance,Resolved,Medium,Mobile App,21,12,Y,N
CASE000779,20250606,ST003,2025-06-06 07:31:00,,Service Disruption Complaint,Open,Medium,Web Form,,72,N,Y
CASE000780,20250606,ST008,2025-06-06 19:02:00,2025-06-08 13:02:00,Ticketing / Refund,Resolved,Low,Web Form,42,48,N,N
CASE000781,20250607,ST001,2025-06-07 08:17:00,2025-06-08 13:17:00,Ticketing / Refund,Resolved,Medium,Station Desk,29,48,N,N
CASE000782,20250607,ST003,2025-06-07 22:04:00,2025-06-12 01:04:00,Service Disruption Complaint,Resolved,Medium,Email,99,72,Y,N
CASE000783,20250607,ST010,2025-06-07 21:28:00,2025-06-14 13:28:00,Delay Compensation,Resolved,Low,Mobile App,160,96,Y,N
CASE000784,20250607,ST015,2025-06-07 17:37:00,2025-06-10 08:37:00,Ticketing / Refund,Resolved,Medium,Station Desk,63,48,Y,N
CASE000785,20250607,ST004,2025-06-07 19:00:00,2025-06-09 10:00:00,Information Request,Resolved,High,Web Form,39,24,Y,N
CASE000786,20250607,ST001,2025-06-07 22:01:00,2025-06-10 08:01:00,Service Disruption Complaint,Resolved,Medium,Station Desk,58,72,N,N
CASE000787,20250607,ST002,2025-06-07 11:02:00,2025-06-09 23:02:00,Lost Property,Resolved,Medium,Email,60,72,N,N
CASE000788,20250607,ST009,2025-06-07 16:14:00,2025-06-09 11:14:00,Lost Property,Resolved,Medium,Web Form,43,72,N,N
CASE000789,20250608,ST001,2025-06-08 16:42:00,2025-06-12 00:42:00,Delay Compensation,Resolved,Medium,Email,80,96,N,N
CASE000790,20250608,ST005,2025-06-08 13:31:00,2025-06-10 08:31:00,Service Disruption Complaint,Resolved,High,Email,43,72,N,N
