response_id,source_type,source_id,station_id,date_key,acknowledged_minutes,dispatch_minutes,site_arrival_minutes,resolution_minutes,sla_breached_flag
RT000427,Incident,INC000427,ST015,20250424,8,10,17,26,Y
RT000428,Incident,INC000428,ST001,20250424,1,2,3,,N
RT000429,Incident,INC000429,ST007,20250424,4,4,8,109,Y
RT000430,Incident,INC000430,ST001,20250425,20,33,44,294,Y
RT000431,Incident,INC000431,ST004,20250425,2,3,5,204,N
RT000432,Incident,INC000432,ST015,20250425,1,1,1,1423,N
RT000433,Incident,INC000433,ST012,20250426,6,10,17,1757,N
RT000434,Incident,INC000434,ST014,20250426,6,7,11,,N
RT000435,Incident,INC000435,ST006,20250427,46,70,85,830,Y
RT000436,Incident,INC000436,ST013,20250427,6,11,17,,Y
RT000437,Incident,INC000437,ST002,20250428,4,10,12,175,N
RT000438,Incident,INC000438,ST009,20250428,5,6,11,350,N
RT000439,Incident,INC000439,ST008,20250428,5,8,11,2132,N
RT000440,Incident,INC000440,ST003,20250428,6,9,20,20,Y
RT000441,Incident,INC000441,ST004,20250428,11,34,45,1788,Y
RT000442,Incident,INC000442,ST007,20250429,8,14,19,447,Y
RT000443,Incident,INC000443,ST004,20250429,11,22,41,,Y
RT000444,Incident,INC000444,ST014,20250429,6,11,16,1124,N
RT000445,Incident,INC000445,ST002,20250429,14,15,33,37,N
RT000446,Incident,INC000446,ST004,20250430,5,9,16,,N
RT000447,Incident,INC000447,ST014,20250501,5,8,10,,N
RT000448,Incident,INC000448,ST009,20250501,3,8,11,,N
RT000449,Incident,INC000449,ST004,20250501,8,11,15,1544,N
RT000450,Incident,INC000450,ST010,20250502,6,9,12,,N
RT000451,Incident,INC000451,ST001,20250503,13,16,26,2583,N
RT000452,Incident,INC000452,ST006,20250504,1,1,1,,N
RT000453,Incident,INC000453,ST002,20250504,11,26,37,2123,Y
RT000454,Incident,INC000454,ST009,20250504,1,1,1,288,N
RT000455,Incident,INC000455,ST003,20250505,7,12,23,131,Y
RT000456,Incident,INC000456,ST001,20250505,6,7,13,606,N
RT000457,Incident,INC000457,ST010,20250505,2,3,4,311,N
RT000458,Incident,INC000458,ST001,20250506,4,5,9,805,N
RT000459,Incident,INC000459,ST010,20250506,17,34,59,,Y
RT000460,Incident,INC000460,ST009,20250506,7,9,20,20,Y
RT000461,Incident,INC000461,ST003,20250506,13,17,36,1096,Y
RT000462,Incident,INC000462,ST001,20250506,5,5,10,445,N
RT000463,Incident,INC000463,ST001,20250507,32,65,88,297,Y
RT000464,Incident,INC000464,ST007,20250508,5,6,14,673,Y
RT000465,Incident,INC000465,ST009,20250508,2,5,9,,N
RT000466,Incident,INC000466,ST006,20250508,3,5,8,434,N
RT000467,Incident,INC000467,ST001,20250508,5,8,11,62,Y
RT000468,Incident,INC000468,ST010,20250508,16,17,37,,Y
RT000469,Incident,INC000469,ST010,20250508,3,6,9,399,N
RT000470,Incident,INC000470,ST014,20250509,1,1,2,,N
RT000471,Incident,INC000471,ST002,20250509,1,3,4,127,N
RT000472,Incident,INC000472,ST001,20250509,2,5,8,261,N
RT000473,Incident,INC000473,ST014,20250509,2,4,6,442,N
RT000474,Incident,INC000474,ST010,20250510,25,29,51,51,Y
RT000475,Incident,INC000475,ST011,20250510,7,13,17,1021,N
RT000476,Incident,INC000476,ST006,20250511,45,50,85,450,Y
RT000477,Incident,INC000477,ST001,20250511,37,67,92,283,Y
RT000478,Incident,INC000478,ST007,20250511,34,54,67,360,Y
RT000479,Incident,INC000479,ST002,20250512,1,1,1,,N
RT000480,Incident,INC000480,ST010,20250512,5,8,15,92,Y
RT000481,Incident,INC000481,ST007,20250512,27,49,103,322,Y
RT000482,Incident,INC000482,ST001,20250512,6,12,18,1363,N
RT000483,Incident,INC000483,ST005,20250512,4,5,9,1144,N
RT000484,Incident,INC000484,ST007,20250513,8,10,20,539,N
RT000485,Incident,INC000485,ST012,20250513,2,3,6,602,N
RT000486,Incident,INC000486,ST015,20250513,2,4,7,2226,N
RT000487,Incident,INC000487,ST015,20250514,1,1,1,201,N
RT000488,Incident,INC000488,ST004,20250515,4,6,9,25,N
RT000489,Incident,INC000489,ST002,20250515,25,37,49,1020,Y
RT000490,Incident,INC000490,ST001,20250515,5,7,10,90,N
RT000491,Incident,INC000491,ST007,20250516,2,4,6,20,N
RT000492,Incident,INC000492,ST009,20250516,14,16,33,956,Y
RT000493,Incident,INC000493,ST003,20250516,2,5,7,1562,N
RT000494,Incident,INC000494,ST012,20250516,14,32,50,1693,Y
RT000495,Incident,INC000495,ST011,20250517,1,2,3,221,N
RT000496,Incident,INC000496,ST014,20250517,11,28,33,1196,Y
RT000497,Incident,INC000497,ST006,20250518,27,35,61,1222,Y
RT000498,Incident,INC000498,ST006,20250518,1,1,2,1578,N
RT000499,Incident,INC000499,ST002,20250519,8,12,15,402,Y
RT000500,Incident,INC000500,ST014,20250519,4,9,14,680,N
RT000501,Incident,INC000501,ST012,20250519,10,17,25,226,Y
RT000502,Incident,INC000502,ST015,20250519,6,5,11,724,Y
RT000503,Incident,INC000503,ST016,20250519,6,7,12,339,N
RT000504,Incident,INC000504,ST001,20250520,20,35,55,593,Y
RT000505,Incident,INC000505,ST010,20250521,2,3,5,62,N
RT000506,Incident,INC000506,ST014,20250521,4,6,11,114,Y
RT000507,Incident,INC000507,ST001,20250521,3,5,10,965,N
RT000508,Incident,INC000508,ST008,20250521,3,4,7,731,N
RT000509,Incident,INC000509,ST008,20250521,1,1,1,1207,N
RT000510,Incident,INC000510,ST016,20250522,3,4,8,195,Y
RT000511,Incident,INC000511,ST004,20250523,3,9,11,242,Y
RT000512,Incident,INC000512,ST009,20250523,12,15,29,1179,N
RT000513,Incident,INC000513,ST008,20250523,3,4,6,69,Y
RT000514,Incident,INC000514,ST004,20250524,20,22,46,20,Y
RT000515,Incident,INC000515,ST006,20250524,25,29,60,20,Y
RT000516,Incident,INC000516,ST010,20250524,23,31,45,1302,N
RT000517,Incident,INC000517,ST004,20250524,1,4,5,1242,N
RT000518,Incident,INC000518,ST003,20250524,7,19,23,75,N
RT000519,Incident,INC000519,ST002,20250525,15,23,30,1691,N
RT000520,Incident,INC000520,ST002,20250525,13,16,32,2043,Y
RT000521,Incident,INC000521,ST001,20250525,5,7,10,433,N
RT000522,Incident,INC000522,ST006,20250525,3,3,6,246,N
RT000523,Incident,INC000523,ST004,20250525,12,17,25,188,Y
RT000524,Incident,INC000524,ST006,20250526,7,11,14,186,N
RT000525,Incident,INC000525,ST001,20250526,5,7,10,190,N
RT000526,Incident,INC000526,ST002,20250526,9,27,32,894,Y
RT000527,Incident,INC000527,ST006,20250526,5,13,18,2457,N
RT000528,Incident,INC000528,ST003,20250527,8,12,19,644,N
RT000529,Incident,INC000529,ST008,20250527,8,15,29,1789,Y
RT000530,Incident,INC000530,ST001,20250527,11,10,22,290,Y
RT000531,Incident,INC000531,ST009,20250527,12,18,35,1414,Y
RT000532,Incident,INC000532,ST002,20250527,6,11,18,,Y
RT000533,Incident,INC000533,ST006,20250528,4,8,13,1063,N
RT000534,Incident,INC000534,ST009,20250528,1,2,2,486,N
RT000535,Incident,INC000535,ST006,20250528,3,9,11,,N
RT000536,Incident,INC000536,ST009,20250529,17,26,31,1199,Y
RT000537,Incident,INC000537,ST010,20250529,41,47,83,98,Y
RT000538,Incident,INC000538,ST012,20250529,3,9,12,850,N
RT000539,Incident,INC000539,ST013,20250529,2,2,4,,N
RT000540,Incident,INC000540,ST004,20250529,4,6,11,261,N
RT000541,Incident,INC000541,ST006,20250530,25,62,77,,Y
RT000542,Incident,INC000542,ST016,20250530,8,7,16,782,Y
RT000543,Incident,INC000543,ST006,20250530,8,12,20,334,Y
RT000544,Incident,INC000544,ST006,20250531,12,15,21,785,N
RT000545,Incident,INC000545,ST014,20250531,1,1,2,20,N
RT000546,Incident,INC000546,ST002,20250601,13,19,28,1190,Y
RT000547,Incident,INC000547,ST008,20250601,25,38,59,1442,Y
RT000548,Incident,INC000548,ST015,20250602,6,19,25,1683,N
RT000549,Incident,INC000549,ST011,20250602,29,39,63,607,Y
RT000550,Incident,INC000550,ST015,20250602,20,50,70,253,Y
RT000551,Incident,INC000551,ST013,20250602,7,11,14,606,Y
RT000552,Incident,INC000552,ST010,20250602,7,10,16,,Y
RT000553,Incident,INC000553,ST002,20250602,4,5,8,,N
RT000554,Incident,INC000554,ST010,20250603,12,18,33,481,Y
RT000555,Incident,INC000555,ST013,20250603,5,12,14,665,N
RT000556,Incident,INC000556,ST009,20250603,3,5,8,1270,N
RT000557,Incident,INC000557,ST006,20250603,15,33,53,,Y
RT000558,Incident,INC000558,ST007,20250603,1,1,1,1012,N
RT000559,Incident,INC000559,ST009,20250604,5,10,14,,N
RT000560,Incident,INC000560,ST006,20250604,23,46,68,20,Y
RT000561,Incident,INC000561,ST007,20250604,37,59,73,1130,Y
RT000562,Incident,INC000562,ST008,20250604,7,9,17,1176,Y
RT000563,Incident,INC000563,ST008,20250604,11,21,40,1069,Y
RT000564,Incident,INC000564,ST004,20250604,16,21,32,912,Y
RT000565,Incident,INC000565,ST016,20250605,1,1,1,171,N
RT000566,Incident,INC000566,ST002,20250606,11,15,26,2231,N
RT000567,Incident,INC000567,ST010,20250606,14,26,44,1528,Y
RT000568,Incident,INC000568,ST013,20250606,2,4,8,43,N
RT000569,Incident,INC000569,ST002,20250607,6,6,13,,Y
RT000570,Incident,INC000570,ST008,20250607,7,12,15,123,N
RT000571,Incident,INC000571,ST015,20250608,1,1,1,265,N
RT000572,Incident,INC000572,ST013,20250608,9,12,17,315,Y
RT000573,Incident,INC000573,ST001,20250609,14,19,27,1511,N
RT000574,Incident,INC000574,ST013,20250609,32,30,63,1434,Y
RT000575,Incident,INC000575,ST010,20250609,16,30,36,416,Y
RT000576,Incident,INC000576,ST009,20250610,7,20,24,995,N
RT000577,Incident,INC000577,ST001,20250610,27,59,80,20,Y
RT000578,Incident,INC000578,ST008,20250610,2,3,5,20,N
RT000579,Incident,INC000579,ST013,20250610,1,1,1,963,N
RT000580,Incident,INC000580,ST013,20250610,17,36,58,,Y
RT000581,Incident,INC000581,ST007,20250611,4,8,11,806,N
RT000582,Incident,INC000582,ST004,20250612,7,17,20,1316,N
RT000583,Incident,INC000583,ST001,20250613,7,13,18,1417,Y
RT000584,Incident,INC000584,ST002,20250613,7,11,15,20,Y
RT000585,Incident,INC000585,ST002,20250613,7,8,16,131,Y
RT000586,Incident,INC000586,ST002,20250613,4,6,9,42,Y
RT000587,Incident,INC000587,ST010,20250613,7,18,22,20,Y
RT000588,Incident,INC000588,ST004,20250614,6,10,17,1104,N
RT000589,Incident,INC000589,ST001,20250614,14,24,46,,Y
RT000590,Incident,INC000590,ST005,20250615,2,7,9,81,Y
RT000591,Incident,INC000591,ST004,20250615,2,5,7,97,N
RT000592,Incident,INC000592,ST007,20250616,5,9,13,407,Y
RT000593,Incident,INC000593,ST003,20250616,1,1,1,53,N
RT000594,Incident,INC000594,ST009,20250616,2,3,5,587,N
RT000595,Incident,INC000595,ST007,20250617,45,77,98,1276,Y
RT000596,Incident,INC000596,ST004,20250617,5,12,17,356,N
RT000597,Incident,INC000597,ST001,20250617,10,15,21,,Y
RT000598,Incident,INC000598,ST003,20250618,1,1,1,20,N
RT000599,Incident,INC000599,ST012,20250618,8,8,17,,Y
RT000600,Incident,INC000600,ST010,20250618,6,14,21,22,Y
RT000601,Incident,INC000601,ST002,20250618,4,6,8,489,N
RT000602,Incident,INC000602,ST009,20250618,4,8,11,70,Y
RT000603,Incident,INC000603,ST011,20250618,3,7,10,281,N
RT000604,Incident,INC000604,ST003,20250619,1,1,1,,N
RT000605,Incident,INC000605,ST001,20250619,4,5,8,1455,N
RT000606,Incident,INC000606,ST009,20250619,1,2,2,1091,N
RT000607,Incident,INC000607,ST014,20250619,13,31,45,850,Y
RT000608,Incident,INC000608,ST010,20250619,3,3,5,524,N
RT000609,Incident,INC000609,ST009,20250619,10,18,25,366,Y
RT000610,Incident,INC000610,ST014,20250620,16,24,46,366,Y
RT000611,Incident,INC000611,ST015,20250620,10,15,22,1738,N
RT000612,Incident,INC000612,ST004,20250620,10,16,22,651,Y
RT000613,Incident,INC000613,ST015,20250620,9,30,35,1607,Y
RT000614,Incident,INC000614,ST003,20250620,3,5,7,77,N
RT000615,Incident,INC000615,ST006,20250620,10,22,32,1558,Y
RT000616,Incident,INC000616,ST006,20250620,6,7,12,275,N
RT000617,Incident,INC000617,ST010,20250620,2,4,6,175,N
RT000618,Incident,INC000618,ST010,20250621,24,33,51,1394,Y
RT000619,Incident,INC000619,ST005,20250621,10,9,18,681,Y
RT000620,Incident,INC000620,ST003,20250622,44,50,86,775,Y
RT000621,Incident,INC000621,ST003,20250622,4,6,9,88,Y
RT000622,Incident,INC000622,ST009,20250622,11,13,26,,Y
RT000623,Incident,INC000623,ST014,20250622,50,49,91,507,Y
RT000624,Incident,INC000624,ST008,20250623,4,6,9,594,N
RT000625,Incident,INC000625,ST010,20250623,10,13,20,1154,N
RT000626,Incident,INC000626,ST002,20250623,3,6,10,284,N
RT000627,Incident,INC000627,ST005,20250623,3,4,7,300,N
RT000628,Incident,INC000628,ST010,20250624,10,17,21,2079,Y
RT000629,Incident,INC000629,ST010,20250624,1,1,1,313,N
RT000630,Incident,INC000630,ST007,20250624,5,8,13,665,N
RT000631,Incident,INC000631,ST014,20250624,10,14,21,697,Y
RT000632,Incident,INC000632,ST010,20250624,4,5,7,308,N
RT000633,Incident,INC000633,ST010,20250624,38,54,97,2593,Y
RT000634,Incident,INC000634,ST009,20250625,6,9,14,3313,N
RT000635,Incident,INC000635,ST003,20250625,1,1,1,2025,N
RT000636,Incident,INC000636,ST007,20250625,21,24,38,20,N
RT000637,Incident,INC000637,ST011,20250625,22,31,53,1133,Y
RT000638,Incident,INC000638,ST006,20250625,9,9,19,1819,Y
RT000639,Incident,INC000639,ST015,20250626,13,15,28,20,Y
RT000640,Incident,INC000640,ST014,20250626,2,4,8,153,N
RT000641,Incident,INC000641,ST014,20250626,16,26,37,703,Y
RT000642,Incident,INC000642,ST004,20250627,1,2,3,816,N
RT000643,Incident,INC000643,ST007,20250627,2,6,8,3967,N
RT000644,Incident,INC000644,ST009,20250627,2,4,5,72,N
RT000645,Incident,INC000645,ST013,20250627,21,42,71,20,Y
RT000646,Incident,INC000646,ST004,20250627,5,8,13,2103,N
RT000647,Incident,INC000647,ST015,20250628,4,5,8,325,N
RT000648,Incident,INC000648,ST007,20250629,6,9,14,456,N
RT000649,Incident,INC000649,ST007,20250629,4,7,12,1906,N
RT000650,Incident,INC000650,ST016,20250629,4,8,15,89,N
RT000651,Incident,INC000651,ST014,20250629,32,45,71,1031,Y
RT000652,Incident,INC000652,ST001,20250630,12,18,24,727,N
RT000653,Incident,INC000653,ST002,20250630,18,41,55,2574,Y
RT000654,Incident,INC000654,ST013,20250630,4,8,16,,Y
RT000655,Incident,INC000655,ST007,20250630,3,8,11,504,Y
RT000656,Incident,INC000656,ST007,20250630,13,39,50,3387,Y
RT000657,Incident,INC000657,ST016,20250701,9,13,19,590,N
RT000658,Incident,INC000658,ST001,20250701,5,7,11,293,Y
RT000659,Incident,INC000659,ST016,20250701,38,59,110,1505,Y
RT000660,Incident,INC000660,ST001,20250702,10,18,23,,Y
RT000661,Incident,INC000661,ST003,20250702,4,4,8,,N
RT000662,Incident,INC000662,ST016,20250702,10,18,32,2547,Y
RT000663,Incident,INC000663,ST001,20250702,42,54,92,1552,Y
RT000664,Incident,INC000664,ST001,20250702,2,5,6,471,N
RT000665,Incident,INC000665,ST006,20250702,1,1,1,494,N
RT000666,Incident,INC000666,ST005,20250703,1,1,1,,N
RT000667,Incident,INC000667,ST009,20250703,7,19,24,20,Y
RT000668,Incident,INC000668,ST013,20250703,13,20,32,,N
RT000669,Incident,INC000669,ST009,20250704,6,6,13,834,N
RT000670,Incident,INC000670,ST006,20250704,28,26,51,233,Y
RT000671,Incident,INC000671,ST013,20250704,1,1,2,573,N
RT000672,Incident,INC000672,ST011,20250705,16,23,49,1204,Y
RT000673,Incident,INC000673,ST007,20250705,2,3,6,1319,N
RT000674,Incident,INC000674,ST012,20250706,3,9,13,644,N
RT000675,Incident,INC000675,ST010,20250706,23,38,70,153,Y
RT000676,Incident,INC000676,ST002,20250707,17,21,34,,Y
RT000677,Incident,INC000677,ST013,20250707,30,57,89,3312,Y
RT000678,Incident,INC000678,ST010,20250707,1,1,1,367,N
RT000679,Incident,INC000679,ST003,20250708,8,12,16,131,Y
RT000680,Incident,INC000680,ST008,20250708,9,20,25,,Y
RT000681,Incident,INC000681,ST013,20250708,1,1,1,115,N
RT000682,Incident,INC000682,ST007,20250708,5,8,17,497,N
RT000683,Incident,INC000683,ST015,20250708,3,3,7,521,N
RT000684,Incident,INC000684,ST006,20250708,1,1,1,325,N
RT000685,Incident,INC000685,ST008,20250709,33,43,65,1502,Y
RT000686,Incident,INC000686,ST002,20250710,3,3,7,955,N
RT000687,Incident,INC000687,ST002,20250710,8,18,27,675,Y
RT000688,Incident,INC000688,ST003,20250710,23,34,43,1276,N
RT000689,Incident,INC000689,ST015,20250710,8,10,14,599,N
RT000690,Incident,INC000690,ST009,20250711,11,21,29,105,Y
RT000691,Incident,INC000691,ST010,20250711,3,4,9,20,N
RT000692,Incident,INC000692,ST007,20250711,5,10,12,20,N
RT000693,Incident,INC000693,ST010,20250712,12,18,24,41,Y
RT000694,Incident,INC000694,ST014,20250712,5,6,13,320,Y
RT000695,Incident,INC000695,ST003,20250712,7,19,28,187,Y
RT000696,Incident,INC000696,ST002,20250712,7,15,18,389,Y
RT000697,Incident,INC000697,ST010,20250712,12,23,27,,N
RT000698,Incident,INC000698,ST010,20250713,12,18,25,,N
RT000699,Incident,INC000699,ST007,20250713,32,47,80,1436,Y
RT000700,Incident,INC000700,ST001,20250714,5,7,10,711,N
RT000701,Incident,INC000701,ST010,20250714,5,8,10,521,N
RT000702,Incident,INC000702,ST002,20250714,6,7,13,20,Y
RT000703,Incident,INC000703,ST001,20250714,26,40,82,20,Y
RT000704,Incident,INC000704,ST015,20250715,14,17,32,401,Y
RT000705,Incident,INC000705,ST010,20250715,1,3,4,54,N
RT000706,Incident,INC000706,ST004,20250715,2,4,5,754,N
RT000707,Incident,INC000707,ST001,20250715,24,43,53,,Y
RT000708,Incident,INC000708,ST008,20250716,2,2,4,223,N
RT000709,Incident,INC000709,ST003,20250716,17,25,48,906,Y
RT000710,Incident,INC000710,ST014,20250716,7,10,13,808,Y
RT000711,Incident,INC000711,ST003,20250716,13,19,23,1305,Y
RT000712,Incident,INC000712,ST013,20250716,7,20,24,220,Y
RT000713,Incident,INC000713,ST006,20250717,14,31,42,149,Y
RT000714,Incident,INC000714,ST007,20250717,1,1,2,102,N
RT000715,Incident,INC000715,ST013,20250717,30,33,62,151,Y
RT000716,Incident,INC000716,ST014,20250717,3,7,9,,Y
RT000717,Incident,INC000717,ST010,20250717,20,35,53,256,Y
RT000718,Incident,INC000718,ST005,20250718,4,5,9,727,N
RT000719,Incident,INC000719,ST006,20250718,7,11,18,1903,N
RT000720,Incident,INC000720,ST002,20250718,1,1,1,344,N
RT000721,Incident,INC000721,ST001,20250718,12,19,24,209,Y
RT000722,Incident,INC000722,ST013,20250718,5,13,19,20,Y
RT000723,Incident,INC000723,ST007,20250719,6,11,14,1228,N
RT000724,Incident,INC000724,ST002,20250719,4,9,15,510,N
RT000725,Incident,INC000725,ST002,20250719,3,5,9,111,N
RT000726,Incident,INC000726,ST009,20250719,2,4,6,101,N
RT000727,Incident,INC000727,ST013,20250719,9,14,21,408,N
RT000728,Incident,INC000728,ST002,20250720,3,4,6,63,N
RT000729,Incident,INC000729,ST001,20250720,13,18,29,1618,Y
RT000730,Incident,INC000730,ST006,20250720,3,6,7,20,Y
RT000731,Incident,INC000731,ST004,20250720,6,13,16,43,Y
RT000732,Incident,INC000732,ST015,20250720,4,9,13,252,N
RT000733,Incident,INC000733,ST002,20250721,8,11,18,1454,Y
RT000734,Incident,INC000734,ST003,20250721,10,16,30,20,N
RT000735,Incident,INC000735,ST010,20250721,10,22,32,533,Y
RT000736,Incident,INC000736,ST008,20250721,3,6,11,558,N
RT000737,Incident,INC000737,ST003,20250722,22,43,72,1044,Y
RT000738,Incident,INC000738,ST004,20250722,16,31,38,1639,Y
RT000739,Incident,INC000739,ST003,20250722,25,47,59,2916,Y
RT000740,Incident,INC000740,ST007,20250722,2,2,3,120,N
RT000741,Incident,INC000741,ST008,20250722,4,7,11,1650,Y
RT000742,Incident,INC000742,ST004,20250723,7,13,21,20,N
RT000743,Incident,INC000743,ST008,20250724,20,27,51,2086,Y
RT000744,Incident,INC000744,ST009,20250724,2,3,5,200,N
RT000745,Incident,INC000745,ST013,20250724,11,33,42,20,N
RT000746,Incident,INC000746,ST006,20250725,7,10,14,529,Y
RT000747,Incident,INC000747,ST014,20250725,15,24,33,2356,N
RT000748,Incident,INC000748,ST007,20250725,2,6,9,,N
RT000749,Incident,INC000749,ST001,20250725,27,32,57,1122,Y
RT000750,Incident,INC000750,ST004,20250726,7,16,21,405,Y
RT000751,Incident,INC000751,ST007,20250726,6,11,22,20,Y
RT000752,Incident,INC000752,ST006,20250727,63,92,115,1910,Y
RT000753,Incident,INC000753,ST003,20250728,15,32,45,,Y
RT000754,Incident,INC000754,ST011,20250728,43,44,88,515,Y
RT000755,Incident,INC000755,ST003,20250728,1,1,1,180,N
RT000756,Incident,INC000756,ST007,20250729,3,5,9,20,N
RT000757,Incident,INC000757,ST008,20250729,7,16,20,1639,N
RT000758,Incident,INC000758,ST013,20250729,4,6,8,388,N
RT000759,Incident,INC000759,ST009,20250730,12,20,30,843,N
RT000760,Incident,INC000760,ST010,20250730,1,2,3,20,N
RT000761,Incident,INC000761,ST002,20250730,6,9,17,702,N
RT000762,Incident,INC000762,ST009,20250730,4,5,8,130,N
RT000763,Incident,INC000763,ST009,20250731,1,1,1,,N
RT000764,Incident,INC000764,ST001,20250731,3,6,8,,N
RT000765,Incident,INC000765,ST007,20250731,10,11,18,986,N
RT000766,Incident,INC000766,ST010,20250731,2,4,6,,N
RT000767,Incident,INC000767,ST008,20250801,3,6,7,,N
RT000768,Incident,INC000768,ST007,20250801,2,4,5,756,N
RT000769,Incident,INC000769,ST001,20250801,5,11,16,100,Y
RT000770,Incident,INC000770,ST011,20250801,3,5,10,980,N
RT000771,Incident,INC000771,ST002,20250802,5,9,15,20,N
RT000772,Incident,INC000772,ST015,20250803,5,9,11,276,N
RT000773,Incident,INC000773,ST013,20250803,6,10,12,379,Y
RT000774,Incident,INC000774,ST001,20250804,36,61,92,53,Y
RT000775,Incident,INC000775,ST001,20250804,2,4,7,161,N
RT000776,Incident,INC000776,ST014,20250804,24,41,50,1788,Y
RT000777,Incident,INC000777,ST003,20250805,4,6,9,20,Y
RT000778,Incident,INC000778,ST008,20250805,7,12,20,1195,N
RT000779,Incident,INC000779,ST001,20250805,8,12,21,87,Y
RT000780,Incident,INC000780,ST003,20250805,1,1,1,244,N
RT000781,Incident,INC000781,ST015,20250805,1,1,2,89,N
RT000782,Incident,INC000782,ST002,20250805,4,6,11,724,N
RT000783,Incident,INC000783,ST010,20250805,15,30,36,1849,Y
RT000784,Incident,INC000784,ST013,20250805,3,8,13,312,Y
RT000785,Incident,INC000785,ST011,20250805,5,11,15,1472,Y
RT000786,Incident,INC000786,ST001,20250806,5,5,10,,N
RT000787,Incident,INC000787,ST003,20250806,8,11,19,216,Y
RT000788,Incident,INC000788,ST002,20250806,21,34,43,136,Y
RT000789,Incident,INC000789,ST002,20250807,5,10,12,159,N
RT000790,Incident,INC000790,ST007,20250807,3,3,6,326,N
RT000791,Incident,INC000791,ST009,20250807,3,4,6,169,N
RT000792,Incident,INC000792,ST006,20250808,32,32,62,1798,Y
RT000793,Incident,INC000793,ST010,20250808,19,25,38,2970,N
RT000794,Incident,INC000794,ST010,20250808,9,15,19,1655,N
RT000795,Incident,INC000795,ST006,20250808,3,6,7,,Y
RT000796,Incident,INC000796,ST006,20250808,4,5,7,,N
RT000797,Incident,INC000797,ST001,20250808,2,3,4,1402,N
RT000798,Incident,INC000798,ST008,20250808,4,8,10,,N
RT000799,Incident,INC000799,ST007,20250808,18,17,35,1050,Y
RT000800,Incident,INC000800,ST010,20250809,7,8,15,1070,N
RT000801,Incident,INC000801,ST006,20250810,4,9,15,302,Y
RT000802,Incident,INC000802,ST006,20250810,10,14,21,542,Y
RT000803,Incident,INC000803,ST001,20250811,5,9,19,375,N
RT000804,Incident,INC000804,ST007,20250811,1,1,1,95,N
RT000805,Incident,INC000805,ST001,20250811,5,10,12,20,N
RT000806,Incident,INC000806,ST005,20250812,20,25,43,343,Y
RT000807,Incident,INC000807,ST016,20250813,26,39,56,2487,Y
RT000808,Incident,INC000808,ST013,20250813,2,4,5,47,N
RT000809,Incident,INC000809,ST003,20250813,8,12,20,1264,N
RT000810,Incident,INC000810,ST002,20250813,10,18,33,,Y
RT000811,Incident,INC000811,ST002,20250813,12,15,30,1789,Y
RT000812,Incident,INC000812,ST001,20250813,14,24,37,2014,Y
RT000813,Incident,INC000813,ST015,20250813,1,1,1,412,N
RT000814,Incident,INC000814,ST003,20250813,14,16,29,834,N
RT000815,Incident,INC000815,ST001,20250814,13,15,27,20,Y
RT000816,Incident,INC000816,ST007,20250814,19,29,42,704,Y
RT000817,Incident,INC000817,ST010,20250814,8,10,21,,Y
RT000818,Incident,INC000818,ST002,20250815,5,8,17,160,Y
RT000819,Incident,INC000819,ST008,20250816,8,9,18,,Y
RT000820,Incident,INC000820,ST004,20250817,9,15,18,1369,N
RT000821,Incident,INC000821,ST010,20250817,18,27,48,2537,Y
RT000822,Incident,INC000822,ST003,20250818,34,51,74,1736,Y
RT000823,Incident,INC000823,ST001,20250818,4,8,9,375,N
RT000824,Incident,INC000824,ST008,20250818,25,38,64,3407,Y
RT000825,Incident,INC000825,ST007,20250818,30,81,101,,Y
RT000826,Incident,INC000826,ST014,20250818,14,13,28,1170,Y
RT000827,Incident,INC000827,ST006,20250819,3,8,12,121,N
RT000828,Incident,INC000828,ST009,20250819,9,8,16,854,Y
RT000829,Incident,INC000829,ST013,20250819,18,18,37,502,Y
RT000830,Incident,INC000830,ST014,20250819,3,3,5,1608,N
RT000831,Incident,INC000831,ST003,20250819,30,78,97,426,Y
RT000832,Incident,INC000832,ST005,20250820,3,4,6,40,N
RT000833,Incident,INC000833,ST012,20250820,16,20,30,,N
RT000834,Incident,INC000834,ST006,20250820,1,1,1,,N
RT000835,Incident,INC000835,ST002,20250820,2,6,8,228,N
RT000836,Incident,INC000836,ST004,20250820,4,5,8,20,Y
RT000837,Incident,INC000837,ST015,20250820,5,6,10,1585,N
RT000838,Incident,INC000838,ST010,20250820,9,15,28,,N
RT000839,Incident,INC000839,ST013,20250820,22,39,52,1687,Y
RT000840,Incident,INC000840,ST003,20250821,15,35,42,3550,Y
RT000841,Incident,INC000841,ST009,20250821,5,10,13,,N
RT000842,Incident,INC000842,ST006,20250821,16,18,38,96,Y
RT000843,Incident,INC000843,ST002,20250822,2,4,5,226,N
RT000844,Incident,INC000844,ST002,20250822,1,1,1,372,N
RT000845,Incident,INC000845,ST006,20250822,9,12,17,1066,Y
RT000846,Incident,INC000846,ST015,20250823,5,6,12,1181,N
RT000847,Incident,INC000847,ST001,20250823,5,9,12,20,Y
RT000848,Incident,INC000848,ST002,20250824,1,1,1,602,N
RT000849,Incident,INC000849,ST009,20250824,14,43,56,,Y
RT000850,Incident,INC000850,ST006,20250825,1,3,5,159,N
RT000851,Incident,INC000851,ST005,20250826,16,15,29,832,Y
RT000852,Incident,INC000852,ST001,20250827,6,12,18,,N
RT000853,Incident,INC000853,ST001,20250827,16,37,47,1012,Y
